StaffID,TrainingType,CompletionDate,ExpiryDate,Status
S001,Manual Handling,2024-03-21,2025-03-21,Valid
S001,First Aid,2024-01-06,2025-01-05,Valid
S001,Safeguarding Level 2,2024-01-26,2025-01-25,Valid
S001,Medication Admin,2024-01-22,2025-01-21,Valid
S002,Medication Admin,2024-08-13,2025-08-13,Valid
S002,Manual Handling,2024-02-06,2025-02-05,Valid
S002,First Aid,2024-04-29,2025-04-29,Valid
S002,Safeguarding Level 2,2024-06-16,2025-06-16,Valid
S003,Safeguarding Level 1,2024-06-13,2025-06-13,Valid
S003,Medication Admin,2024-05-31,2025-05-31,Valid
S003,Safeguarding Level 2,2024-05-25,2025-05-25,Valid
S004,Safeguarding Level 1,2024-08-18,2025-08-18,Valid
S004,Safeguarding Level 2,2024-03-28,2025-03-28,Valid
S004,Manual Handling,2024-08-06,2025-08-06,Valid
S005,Manual Handling,2024-03-04,2025-03-04,Valid
S005,Safeguarding Level 2,2024-07-05,2025-07-05,Valid
S005,Medication Admin,2024-03-03,2025-03-03,Valid
S006,Manual Handling,2024-08-04,2025-08-04,Valid
S006,First Aid,2024-01-31,2025-01-30,Valid
S006,Medication Admin,2024-04-19,2025-04-19,Valid
S006,Safeguarding Level 2,2024-06-17,2025-06-17,Valid
S007,Manual Handling,2024-05-19,2025-05-19,Valid
S007,Safeguarding Level 2,2024-05-11,2025-05-11,Valid
S008,Medication Admin,2024-07-01,2025-07-01,Valid
S008,Safeguarding Level 2,2024-04-28,2025-04-28,Valid
S009,First Aid,2024-06-04,2025-06-04,Valid
S009,Medication Admin,2024-05-30,2025-05-30,Valid
S009,Manual Handling,2024-01-21,2025-01-20,Valid
S009,Safeguarding Level 2,2024-06-30,2025-06-30,Valid
S010,Medication Admin,2024-03-20,2025-03-20,Valid
S010,Manual Handling,2024-06-07,2025-06-07,Valid
S010,Safeguarding Level 1,2024-02-04,2025-02-03,Valid
S011,First Aid,2024-08-25,2025-08-25,Valid
S011,Manual Handling,2024-05-19,2025-05-19,Valid
S011,Medication Admin,2024-04-17,2025-04-17,Valid
S011,Safeguarding Level 1,2024-03-24,2025-03-24,Valid
S012,Safeguarding Level 1,2024-04-10,2025-04-10,Valid
S012,First Aid,2024-04-25,2025-04-25,Valid
S012,Safeguarding Level 2,2024-04-22,2025-04-22,Valid
S013,Medication Admin,2024-08-13,2025-08-13,Valid
S013,Safeguarding Level 1,2024-02-08,2025-02-07,Valid
S013,Manual Handling,2024-05-17,2025-05-17,Valid
S013,Safeguarding Level 2,2024-05-10,2025-05-10,Valid
S014,Medication Admin,2024-05-04,2025-05-04,Valid
S014,Safeguarding Level 2,2024-07-22,2025-07-22,Valid
S014,Manual Handling,2024-04-15,2025-04-15,Valid
S015,Safeguarding Level 1,2024-01-03,2025-01-02,Valid
S015,Safeguarding Level 2,2024-08-03,2025-08-03,Valid
S016,Safeguarding Level 2,2024-06-08,2025-06-08,Valid
S016,Manual Handling,2024-06-10,2025-06-10,Valid
S016,Safeguarding Level 1,2024-01-29,2025-01-28,Valid
S017,Safeguarding Level 1,2024-06-23,2025-06-23,Valid
S017,First Aid,2024-08-13,2025-08-13,Valid
S018,Manual Handling,2024-01-09,2025-01-08,Valid
S018,First Aid,2024-02-03,2025-02-02,Valid
S018,Safeguarding Level 1,2024-05-13,2025-05-13,Valid
S018,Medication Admin,2024-05-11,2025-05-11,Valid
S019,Safeguarding Level 1,2024-03-17,2025-03-17,Valid
S019,First Aid,2024-02-18,2025-02-17,Valid
S019,Manual Handling,2024-08-16,2025-08-16,Valid
S020,Manual Handling,2024-08-25,2025-08-25,Valid
S020,Safeguarding Level 1,2024-08-12,2025-08-12,Valid
S020,Medication Admin,2024-02-13,2025-02-12,Valid
